city,state,lat,lon,score,currCity,currState,currLat,currLon
Chapel Hill,NC,35.9132,-79.055845,6,Chapel Hill,NC,35.9132,-79.055845
Valley Stream,NY,40.66427,-73.708464,10,Chapel Hill,NC,35.9132,-79.055845
Chapel Hill ,NC,35.9132,-79.055845,6,Carrboro,NC,35.910144,-79.075289
Fayetteville,NC,35.052664,-78.878358,10,Chapel Hill,NC,35.9132,-79.055845
Atlanta,GA,33.748995,-84.387982,9.57,Burlington,NC,36.095692,-79.437799
Frostproof,FL,27.745863,-81.530631,5,Chapel Hill,NC,35.9132,-79.055845
Encino,CA,34.151749,-118.521428,5,Chapel Hill,NC,35.9132,-79.055845
Maui,HI,20.798363,-156.331925,5,Chapel Hill,NC,35.9132,-79.055845
Syracuse,NY,43.048122,-76.147424,11.5,Fulton,NY,43.322846,-76.417159
Davenport,IA,41.523644,-90.577637,8,Amarillo,TX,35.221997,-101.831297
West Deptford,NJ,39.831838,-75.189558,13,West Deptford,NJ,39.831838,-75.189558
Akron,OH,41.081445,-81.519005,10,Bluffton,OH,40.89533,-83.888829
Santa Clara,CA,37.354108,-121.955236,1,Santa Clara,CA,37.354108,-121.955236
Philadelphia,PA,39.952584,-75.165222,12.5,Philadelphia,PA,39.952584,-75.165222
San Diego,CA,32.715738,-117.161084,14,Phoenix,AZ,33.448377,-112.074037
Portland,OR,45.523062,-122.676482,7,Portland,OR,45.523062,-122.676482
Augusta,GA,33.473498,-82.010515,7,Swartz Creek,MI,42.957251,-83.830514
Hattiesburg,MS,31.327119,-89.290339,14,Atlanta,GA,33.748995,-84.387982
St. Paul,MN,44.953703,-93.089958,3,Atlanta,GA,33.748995,-84.387982
Syracuse,NY,43.048122,-76.147424,11.5,Syracuse,NY,43.048122,-76.147424
Omaha,NE,41.252363,-95.997988,11,Los Angeles,CA,34.052234,-118.243685
Wilmington,NC,34.225726,-77.94471,11,Charleston,SC,32.776475,-79.931051
Brooklyn,NY,40.678178,-73.944158,9.33,Brooklyn,NY,40.678178,-73.944158
Jacksonville,FL,30.332184,-81.655651,10,Boston,MA,42.360082,-71.05888
Lexington,KY,38.040584,-84.503716,10,Lexington,KY,38.040584,-84.503716
Bristol,VT,44.133391,-73.079008,10,Henderson,NV,36.039525,-114.981721
Barnegat,NJ,39.764922,-74.26933,11,Barnegat,NJ,39.764922,-74.26933
Denver,CO,39.739236,-104.990251,12.5,Denver,CO,39.739236,-104.990251
Greensboro,NC,36.072635,-79.791975,12.5,Greensboro,NC,36.072635,-79.791975
Tustin,CA,33.745851,-117.826166,11,Long Beach,CA,33.77005,-118.193739
Chandler,AZ,33.30616,-111.84125,0,Tucson,AZ,32.221743,-110.926479
Parkton,MD,39.630527,-76.675971,11,Hampstead,MD,39.604825,-76.849977
New York,NY,40.712784,-74.005941,15.67,New York,NY,40.712784,-74.005941
St. Paul,MN,44.953703,-93.089958,3,Peoria,AZ,33.580596,-112.237378
Freeport,TX,28.954137,-95.359662,17,Freeport,TX,28.954137,-95.359662
Alpine,UT,40.453283,-111.777986,11,Jacksonville,FL,30.332184,-81.655651
Miami,FL,25.76168,-80.19179,11,Fort Lauderdale,FL,26.122439,-80.137317
Fowlerville ,MI,42.660589,-84.073014,12,Fowlerville ,MI,42.660589,-84.073014
Indianapolis,IN,39.7684,-86.1581,17,Wilmington,NC,34.225726,-77.94471
Stillwater,MN,45.056979,-92.811031,4,Phoenix,AZ,33.448196,-112.082552
Philadelphia,PA,39.952584,-75.165222,12.5,Boston,MA,42.360082,-71.05888
Ottawa,IL,41.345589,-88.842577,9,Portland,OR,45.523062,-122.676482
Detroit,MI,42.331427,-83.045754,12,Ypsilanti,MI,42.196629,-83.613557
Oxnard,CA,34.197505,-119.177052,5,Oxnard,CA,34.197505,-119.177052
New York,NY,40.712784,-74.005941,15.67,Charlotte,NC,35.227087,-80.843127
Atlanta,GA,33.748995,-84.387982,9.57,Atlanta,GA,33.748995,-84.387982
Pima,AZ,32.896175,-109.827582,0,Thatcher,AZ,32.849232,-109.759248
Birmingham,AL,33.520661,-86.80249,13.5,Birmingham,AL,33.520661,-86.80249
Manassas,VA,38.750949,-77.475267,9,Alexandria,VA,38.804836,-77.046921
Arlington,TX,32.735687,-97.108066,11,Arlington,TX,32.735687,-97.108066
Kansas City,MO,39.099727,-94.578567,6,Kansas City,MO,39.099727,-94.578567
Fort Gibson,OK,35.797599,-95.250517,14,Fort Gibson,OK,35.797599,-95.250517
Babson Park,MA,42.302757,-71.270165,11,East Walpole,MA,42.161495,-71.210107
Los Angeles,CA,34.052234,-118.243685,7.83,Los Angeles,CA,34.052234,-118.243685
Chicago,IL,41.878114,-87.629798,13.33,Chicago,IL,41.878114,-87.629798
Los Angeles,CA,34.052234,-118.243685,7.83,West Covina,CA,34.068621,-117.938953
Bradford,PA,41.956495,-78.649163,11,Whitman,MA,42.080656,-70.935599
Los Osos,CA,35.307229,-120.838409,11,San Diego,CA,32.715738,-117.161084
Fort Worth,TX,32.755488,-97.330766,5,Fort Worth,TX,32.755488,-97.330766
Harrisburg,PA,40.273191,-76.886701,8,Vancouver,WA,45.638728,-122.661486
Manchester,MO,38.596998,-90.509288,11,St. Louis,MO,38.627003,-90.199404
Tallmadge,OH,41.101445,-81.441779,14,Tallmadge,OH,41.101445,-81.441779
Brooklyn,NY,40.678178,-73.944158,9.33,Brooklyn,NY,40.678178,-73.944158
Brooklyn,NY,40.678746,-73.953041,9.33,Brooklyn,NY,40.678746,-73.953041
New York,NY,40.712784,-74.005941,15.67,Las Vegas,NV,36.169941,-115.13983
Havelock,NC,34.879049,-76.90133,13,Cedarburg,WI,43.296672,-87.98759
Liberty,NY,41.8012,-74.74655,8,Liberty,NY,41.8012,-74.74655
Portsmouth,VA,36.835426,-76.298274,11,Portsmouth,VA,36.835426,-76.298274
Atlanta,GA,33.748995,-84.387982,9.57,Atlanta,GA,33.748995,-84.387982
Dallas,TX,32.776664,-96.796988,11,Troy ,ID,46.736836,-116.769603
Bronx,NY,40.837049,-73.86543,13,Greensboro,NC,36.072635,-79.791975
Missoula,MT,46.878718,-113.996586,7,St. Ignatius,MT,47.319931,-114.093998
Richmond,VA,37.540725,-77.436048,15,Richmond,VA,37.540725,-77.436048
Williamsburg,VA,37.270702,-76.707457,12,Morgantown,WV,39.629526,-79.955897
Dayton,OH,39.758948,-84.191607,10,Tampa,FL,27.950575,-82.457178
Atlanta,GA,33.748995,-84.387982,9.57,Boston,MA,42.360173,-71.057221
Greensboro,NC,36.072635,-79.791975,12.5,Greensboro,NC,36.072635,-79.791975
Laguna Hills,CA,33.590277,-117.696282,14,Laguna Hills,CA,33.590277,-117.696282
